ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
96027,47.8%,1 36,48.4%,9 2,6.9%,6 2,100.0%,5 8,2 9
96031,-14.3%,6,0.0%,7,0.0%,7,-12.5%,7,8
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 35,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
96032,40.2%,1 29,26.0%,9 2,17.7%,7 3,19.2%,6 2,5 2
96034,-25.0%,6,14.3%,8,16.7%,7,20.0%,6,5
96038,400.0%,1 5,50.0%,3,100.0%,2,0.0%,1,1
96039,20.0%,7 8,12.1%,6 5,16.0%,5 8,0.0%,5 0,5 0
96044,39.4%,4 6,73.7%,3 3,18.8%,1 9,60.0%,1 6,1 0
96050,11.5%,2 9,-23.5%,2 6,6.3%,3 4,10.3%,3 2,2 9
96057,31.1%,1 56,36.8%,1 19,3.6%,8 7,25.4%,8 4,6 7
96058,33.3%,1 6,20.0%,1 2,0.0%,1 0,100.0%,1 0,5
96064,77.3%,1 17,37.5%,6 6,84.6%,4 8,73.3%,2 6,1 5
96067,215.2%,5 61,54.8%,1 78,32.2%,1 15,27.9%,8 7,6 8
96085,0.0%,1 0,-9.1%,1 0,-15.4%,1 1,44.4%,1 3,9
96086,0.0%,2 6,4.0%,2 6,13.6%,2 5,10.0%,2 2,2 0
96094,143.0%,3 11,75.3%,1 28,46.0%,7 3,47.1%,5 0,3 4
96097,155.5%,3 04,45.1%,1 19,30.2%,8 2,37.0%,6 3,4 6
96134,50.0%,6,300.0%,4,-83.3%,1,20.0%,6,5
94510,512.5%,4 9,100.0%,8,0.0%,4,33.3%,4,3
94512,0.0%,1,0.0%,1,0.0%,1,0.0%,1,1
94533,175.0%,5 5,233.3%,2 0,0.0%,6,-50.0%,6,1 2
94534,126.6%,2 13,129.3%,9 4,95.2%,4 1,40.0%,2 1,1 5
94571,400.0%,1 0,100.0%,2,0.0%,1,-50.0%,1,2
94585,56.3%,2 5,77.8%,1 6,12.5%,9,-27.3%,8,1 1
94589,86.7%,2 8,36.4%,1 5,-8.3%,1 1,9.1%,1 2,1 1
94590,36.0%,6 8,31.6%,5 0,2.7%,3 8,-2.6%,3 7,3 8
94591,105.7%,7 2,29.6%,3 5,-3.6%,2 7,7.7%,2 8,2 6
94592,0.0%,4,0.0%,-,0.0%,-,0.0%,-,-
95620,450.0%,1 1,0.0%,2,-100.0%,-,-66.7%,1,3
95687,228.6%,2 3,75.0%,7,0.0%,4,-20.0%,4,5
95688,153.2%,1 19,80.8%,4 7,85.7%,2 6,16.7%,1 4,1 2
94922,36.4%,1 5,0.0%,1 1,0.0%,1 1,0.0%,-,-
94923,54.8%,4 8,29.2%,3 1,50.0%,2 4,0.0%,1 6,1 6
94928,850.0%,3 8,33.3%,4,200.0%,3,0.0%,1,1
94931,275.0%,1 5,300.0%,4,0.0%,1,-100.0%,-,4
94951,86.2%,5 4,107.1%,2 9,75.0%,1 4,100.0%,8,4
94952,64.5%,1 25,76.7%,7 6,186.7%,4 3,-11.8%,1 5,1 7
94954,166.7%,6 4,33.3%,2 4,500.0%,1 8,200.0%,3,1
94972,-100.0%,-,0.0%,1,0.0%,-,0.0%,-,-
95401,135.7%,3 3,180.0%,1 4,-16.7%,5,200.0%,6,2
95403,89.8%,1 86,40.0%,9 8,84.2%,7 0,171.4%,3 8,1 4
95404,49.8%,7 04,41.6%,4 70,98.8%,3 32,35.8%,1 67,1 23
95405,196.2%,7 7,333.3%,2 6,50.0%,6,0.0%,4,4
95407,82.2%,8 2,104.5%,4 5,0.0%,2 2,69.2%,2 2,1 3
95409,174.0%,3 59,133.9%,1 31,124.0%,5 6,38.9%,2 5,1 8
95412,-20.0%,1 6,5.3%,2 0,26.7%,1 9,150.0%,1 5,6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95419,0.0%,3 5,0.0%,-,0.0%,-,0.0%,-,-
95421,63.5%,2 42,23.3%,1 48,60.0%,1 20,25.0%,7 5,6 0
95425,55.8%,2 57,48.6%,1 65,44.2%,1 11,26.2%,7 7,6 1
95436,39.2%,2 70,45.9%,1 94,111.1%,1 33,57.5%,6 3,4 0
95439,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
95441,11.6%,1 25,34.9%,1 12,93.0%,8 3,26.5%,4 3,3 4
95442,43.4%,2 28,37.1%,1 59,205.3%,1 16,31.0%,3 8,2 9
95444,50.0%,3,0.0%,2,-100.0%,-,0.0%,1,-
95446,46.6%,8 81,105.1%,6 01,128.9%,2 93,56.1%,1 28,8 2
95448,27.7%,5 49,24.3%,4 30,60.2%,3 46,30.9%,2 16,1 65
95450,5.5%,9 6,13.8%,9 1,60.0%,8 0,35.1%,5 0,3 7
95452,85.4%,7 6,57.7%,4 1,420.0%,2 6,-37.5%,5,8
95462,35.7%,2 13,72.5%,1 57,93.6%,9 1,23.7%,4 7,3 8
95465,5.8%,9 1,45.8%,8 6,247.1%,5 9,88.9%,1 7,9
95471,0.0%,3 5,0.0%,-,0.0%,-,0.0%,-,-
95472,54.6%,3 17,62.7%,2 05,51.8%,1 26,62.7%,8 3,5 1
95476,100.5%,4 37,69.0%,2 18,152.9%,1 29,41.7%,5 1,3 6
95492,173.1%,7 1,100.0%,2 6,18.2%,1 3,37.5%,1 1,8
95497,74.3%,1 97,48.7%,1 13,61.7%,7 6,30.6%,4 7,3 6
95307,300.0%,3 2,-11.1%,8,12.5%,9,-11.1%,8,9
95313,0.0%,1,0.0%,1,-50.0%,1,0.0%,2,2
95316,0.0%,5,0.0%,-,0.0%,-,0.0%,-,-
95319,0.0%,2,0.0%,-,0.0%,-,0.0%,-,-
95323,0.0%,2,0.0%,2,100.0%,2,0.0%,1,1
95326,350.0%,9,0.0%,2,0.0%,2,-33.3%,2,3
95328,0.0%,5,0.0%,-,0.0%,-,-100.0%,-,1
95350,300.0%,3 2,33.3%,8,-33.3%,6,50.0%,9,6
95351,186.7%,4 3,66.7%,1 5,28.6%,9,-30.0%,7,1 0
95354,225.0%,2 6,33.3%,8,-25.0%,6,33.3%,8,6
95355,144.4%,2 2,80.0%,9,0.0%,5,-28.6%,5,7
95356,275.0%,1 5,100.0%,4,0.0%,2,100.0%,2,1
95357,100.0%,1 2,0.0%,6,20.0%,6,0.0%,5,5
95358,100.0%,2 8,16.7%,1 4,20.0%,1 2,0.0%,1 0,1 0
95360,166.7%,8,200.0%,3,-50.0%,1,100.0%,2,1
95361,55.2%,4 5,61.1%,2 9,5.9%,1 8,30.8%,1 7,1 3
95363,225.0%,3 9,50.0%,1 2,700.0%,8,0.0%,1,1
95367,1100.0%,1 2,0.0%,1,-100.0%,-,0.0%,1,1
95368,800.0%,9,0.0%,1,0.0%,-,0.0%,-,-
95380,76.9%,2 3,550.0%,1 3,-33.3%,2,-50.0%,3,6
95382,350.0%,9,-66.7%,2,50.0%,6,33.3%,4,3
95385,100.0%,2,0.0%,1,0.0%,1,0.0%,-,-
95386,200.0%,6,0.0%,2,-33.3%,2,0.0%,3,3
95645,0.0%,1,0.0%,1,0.0%,-,0.0%,-,-
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95659,0.0%,-,-100.0%,-,-50.0%,1,0.0%,2,-
95668,300.0%,4,0.0%,1,0.0%,-,0.0%,-,-
95674,50.0%,3,100.0%,2,0.0%,1,0.0%,1,1
95953,0.0%,7,-22.2%,7,12.5%,9,14.3%,8,7
95957,0.0%,1,-50.0%,1,0.0%,2,0.0%,2,2
95982,0.0%,2,100.0%,2,0.0%,1,0.0%,-,-
95991,433.3%,1 6,0.0%,3,-25.0%,3,100.0%,4,2
95993,1300.0%,1 4,0.0%,1,0.0%,1,-66.7%,1,3
96021,100.0%,2 36,73.5%,1 18,126.7%,6 8,100.0%,3 0,1 5
96022,46.4%,6 06,64.9%,4 14,28.7%,2 51,27.5%,1 95,1 53
96035,1200.0%,1 3,0.0%,1,0.0%,1,0.0%,-,-
96055,285.7%,2 7,250.0%,7,-33.3%,2,200.0%,3,1
96059,0.0%,7 7,0.0%,-,-100.0%,-,15.4%,3 0,2 6
96061,5.8%,9 1,34.4%,8 6,20.8%,6 4,1.9%,5 3,5 2
96075,27.6%,3 7,7.4%,2 9,0.0%,2 7,50.0%,2 7,1 8
96080,65.3%,3 72,66.7%,2 25,6.3%,1 35,25.7%,1 27,1 01
95526,-7.0%,5 3,21.3%,5 7,2.2%,4 7,21.1%,4 6,3 8
95527,7.9%,6 8,8.6%,6 3,7.4%,5 8,28.6%,5 4,4 2
95552,3.8%,5 5,17.8%,5 3,4.7%,4 5,19.4%,4 3,3 6
95563,29.9%,1 52,4.5%,1 17,-1.8%,1 12,17.5%,1 14,9 7
95595,55.6%,1 4,-40.0%,9,-11.8%,1 5,13.3%,1 7,1 5
96010,53.8%,2 0,-18.8%,1 3,0.0%,1 6,23.1%,1 6,1 3
96024,16.4%,1 42,15.1%,1 22,1.0%,1 06,29.6%,1 05,8 1
96041,18.6%,1 15,9.0%,9 7,1.1%,8 9,31.3%,8 8,6 7
96046,-42.1%,1 1,-5.0%,1 9,-33.3%,2 0,130.8%,3 0,1 3
96048,20.8%,5 8,23.1%,4 8,-4.9%,3 9,24.2%,4 1,3 3
96052,17.0%,1 93,20.4%,1 65,5.4%,1 37,14.0%,1 30,1 14
96091,31.3%,2 18,3.8%,1 66,-3.6%,1 60,16.9%,1 66,1 42
96093,47.2%,1 59,71.4%,1 08,6.8%,6 3,73.5%,5 9,3 4
93201,0.0%,8,0.0%,-,0.0%,-,0.0%,-,-
93207,0.0%,1 73,8.1%,1 73,6.7%,1 60,36.4%,1 50,1 10
93208,0.0%,5 4,0.0%,-,0.0%,-,0.0%,-,-
93218,0.0%,3,0.0%,-,0.0%,-,0.0%,-,-
93219,75.0%,7,-33.3%,4,-25.0%,6,33.3%,8,6
93221,416.7%,3 1,0.0%,6,100.0%,6,0.0%,3,3
93223,220.0%,1 6,-44.4%,5,200.0%,9,0.0%,3,3
93235,300.0%,4,0.0%,1,0.0%,1,0.0%,1,1
93244,60.0%,8,0.0%,5,0.0%,5,0.0%,-,-
93247,200.0%,1 2,-20.0%,4,-16.7%,5,100.0%,6,3
93256,80.0%,9,-44.4%,5,200.0%,9,200.0%,3,1
93257,127.5%,2 07,40.0%,9 1,41.3%,6 5,15.0%,4 6,4 0
93260,0.5%,2 19,7.9%,2 18,14.1%,2 02,27.3%,1 77,1 39
93262,0.0%,7,40.0%,7,0.0%,5,25.0%,5,4
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93265,4.8%,5 92,17.7%,5 65,10.1%,4 80,4.8%,4 36,4 16
93267,160.0%,1 3,-37.5%,5,300.0%,8,-50.0%,2,4
93270,100.0%,1 2,-14.3%,6,40.0%,7,25.0%,5,4
93271,18.8%,5 74,91.7%,4 83,49.1%,2 52,113.9%,1 69,7 9
93272,200.0%,3,-50.0%,1,100.0%,2,0.0%,1,1
93274,277.8%,6 8,-40.0%,1 8,172.7%,3 0,0.0%,1 1,1 1
93277,208.3%,3 7,71.4%,1 2,133.3%,7,-25.0%,3,4
93286,116.7%,2 6,20.0%,1 2,66.7%,1 0,200.0%,6,2
93291,230.0%,6 6,-48.7%,2 0,457.1%,3 9,133.3%,7,3
93292,176.9%,3 6,-27.8%,1 3,80.0%,1 8,100.0%,1 0,5
93603,-6.6%,5 7,10.9%,6 1,31.0%,5 5,40.0%,4 2,3 0
93615,100.0%,6,-25.0%,3,0.0%,4,0.0%,4,4
93618,116.7%,1 3,0.0%,6,100.0%,6,50.0%,3,2
93647,92.3%,2 5,-7.1%,1 3,75.0%,1 4,60.0%,8,5
95305,0.0%,2 6,0.0%,-,0.0%,-,0.0%,-,-
95310,17.5%,3 63,18.4%,3 09,6.1%,2 61,19.4%,2 46,2 06
95321,7.7%,"2 ,020",16.7%,"1 ,876",14.3%,"1 ,608",19.9%,"1 ,407","1 ,173"
95327,28.8%,6 71,45.1%,5 21,23.8%,3 59,30.0%,2 90,2 23
95329,21.4%,3 12,39.7%,2 57,29.6%,1 84,16.4%,1 42,1 22
95335,-1.0%,8 62,9.0%,8 71,12.1%,7 99,16.3%,7 13,6 13
95346,0.0%,7 07,7.9%,7 07,4.8%,6 55,13.2%,6 25,5 52
95370,12.9%,"4 ,574",22.4%,"4 ,053",6.3%,"3 ,310",12.5%,"3 ,113","2 ,766"
95372,15.2%,3 64,19.2%,3 16,10.0%,2 65,15.3%,2 41,2 09
95379,20.2%,7 38,41.1%,6 14,12.1%,4 35,28.5%,3 88,3 02
95383,1.8%,"1 ,994",9.1%,"1 ,958",8.6%,"1 ,795",11.5%,"1 ,653","1 ,483"
91320,213.9%,6 53,55.2%,2 08,24.1%,1 34,22.7%,1 08,8 8
91360,235.0%,4 12,61.8%,1 23,13.4%,7 6,11.7%,6 7,6 0
91361,110.2%,"1 ,011",10.8%,4 81,19.6%,4 34,61.3%,3 63,2 25
91362,204.4%,8 28,61.9%,2 72,29.2%,1 68,41.3%,1 30,9 2
91377,258.8%,4 27,50.6%,1 19,3.9%,7 9,28.8%,7 6,5 9
93001,56.7%,4 67,25.7%,2 98,20.9%,2 37,46.3%,1 96,1 34
93003,205.0%,2 44,70.2%,8 0,14.6%,4 7,70.8%,4 1,2 4
93004,172.7%,6 0,57.1%,2 2,55.6%,1 4,200.0%,9,3
93010,158.7%,1 19,27.8%,4 6,20.0%,3 6,100.0%,3 0,1 5
93012,113.5%,3 16,29.8%,1 48,22.6%,1 14,63.2%,9 3,5 7
93015,30.9%,1 95,12.0%,1 49,68.4%,1 33,54.9%,7 9,5 1
93021,91.3%,5 03,41.4%,2 63,31.0%,1 86,86.8%,1 42,7 6
93022,126.0%,2 17,77.8%,9 6,74.2%,5 4,34.8%,3 1,2 3
93023,59.6%,"1 ,293",35.5%,8 10,69.4%,5 98,104.0%,3 53,1 73
93030,120.0%,3 3,7.1%,1 5,16.7%,1 4,-7.7%,1 2,1 3
93033,128.6%,9 6,75.0%,4 2,-11.1%,2 4,35.0%,2 7,2 0
93035,137.5%,3 8,14.3%,1 6,-6.7%,1 4,25.0%,1 5,1 2
93036,67.9%,4 7,64.7%,2 8,-10.5%,1 7,26.7%,1 9,1 5
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 39,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93040,41.7%,3 4,26.3%,2 4,46.2%,1 9,30.0%,1 3,1 0
93041,300.0%,2 4,0.0%,6,50.0%,6,33.3%,4,3
93060,44.3%,3 91,22.6%,2 71,34.8%,2 21,105.0%,1 64,8 0
93063,95.5%,7 39,18.9%,3 78,11.6%,3 18,14.0%,2 85,2 50
93065,164.8%,9 32,55.8%,3 52,20.9%,2 26,34.5%,1 87,1 39
93066,43.8%,1 05,23.7%,7 3,9.3%,5 9,440.0%,5 4,1 0
95605,122.2%,2 0,800.0%,9,0.0%,1,-100.0%,-,2
95606,-20.0%,4,25.0%,5,100.0%,4,0.0%,2,-
95607,-16.7%,5,200.0%,6,100.0%,2,0.0%,1,-
95612,0.0%,1,0.0%,1,0.0%,-,-100.0%,-,1
95616,33.3%,4,50.0%,3,0.0%,2,-33.3%,2,3
95618,20.0%,6,400.0%,5,0.0%,1,0.0%,1,-
95627,600.0%,7,0.0%,1,0.0%,-,-100.0%,-,1
95637,66.7%,1 5,80.0%,9,150.0%,5,0.0%,2,-
95679,11.1%,1 0,80.0%,9,-16.7%,5,50.0%,6,4
95691,-27.6%,2 1,383.3%,2 9,-80.0%,6,3.4%,3 0,2 9
95694,48.4%,4 6,34.8%,3 1,109.1%,2 3,175.0%,1 1,4
95695,150.0%,1 5,50.0%,6,0.0%,4,0.0%,4,4
95698,0.0%,1,0.0%,1,0.0%,1,0.0%,1,1
95776,0.0%,1 0,0.0%,-,-100.0%,-,0.0%,2,-
95937,0.0%,1,0.0%,1,0.0%,1,0.0%,1,1
95692,162.5%,2 1,100.0%,8,0.0%,4,100.0%,4,2
95901,118.7%,1 99,89.6%,9 1,14.3%,4 8,50.0%,4 2,2 8
95918,53.2%,1 70,52.1%,1 11,52.1%,7 3,54.8%,4 8,3 1
95919,14.7%,2 58,9.2%,2 25,12.0%,2 06,23.5%,1 84,1 49
95922,6.5%,9 8,13.6%,9 2,0.0%,8 1,28.6%,8 1,6 3
95925,15.0%,4 6,2.6%,4 0,-67.2%,3 9,28.0%,1 19,9 3
95935,17.0%,1 65,18.5%,1 41,20.2%,1 19,22.2%,9 9,8 1
95961,112.5%,1 7,100.0%,8,-76.5%,4,466.7%,1 7,3
95962,15.7%,2 43,22.1%,2 10,16.2%,1 72,21.3%,1 48,1 22
95972,21.4%,3 4,40.0%,2 8,33.3%,2 0,-16.7%,1 5,1 8
95981,-41.8%,1 24,17.0%,2 13,82.0%,1 82,20.5%,1 00,8 3
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
